class_i,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,ASCUS_c_09999,LSIL_c_09999,ASCH_c_09999,HSIL_c_09999,SCC_c_09999,ASCUS_c_099999,LSIL_c_099999,ASCH_c_099999,HSIL_c_099999,SCC_c_099999,d_05
1,68,58,0,177,6,38,46,0,74,3,13,39,0,44,0,5,37,0,21,0,0,34,0,13,0,81.79089391
1,1040,20,4,159,1,699,16,2,82,0,384,13,1,40,0,137,10,1,20,0,34,10,1,11,0,143.1126667
1,2636,53,6,89,4,1890,45,2,54,1,1180,39,0,27,0,616,36,0,13,0,263,30,0,9,0,174.2793116
1,3016,23,2,2,3,2332,19,2,1,3,1581,16,1,0,2,758,14,1,0,2,224,14,1,0,1,166.5058874
1,1135,6,0,1,0,662,2,0,0,0,290,0,0,0,0,77,0,0,0,0,14,0,0,0,0,227.9665517
1,2791,16,0,139,1,1920,5,0,65,0,1081,1,0,35,0,475,1,0,11,0,156,0,0,5,0,217.9321806
1,5593,1,31,31,8,4807,1,4,8,8,3689,1,1,2,2,2426,1,1,0,1,1153,1,0,0,0,125.0895197
1,5180,13,0,4,3,3956,6,0,1,3,2444,0,0,0,1,1131,0,0,0,0,391,0,0,0,0,155.2904843
1,1239,10,161,323,8,840,3,56,185,4,489,2,18,92,2,238,1,6,43,1,78,0,1,19,0,122.4407226
1,2610,4,0,13,1,1754,4,0,2,0,939,1,0,0,0,351,1,0,0,0,86,1,0,0,0,190.4874497
1,1191,41,0,18,9,876,24,0,8,5,601,16,0,4,2,340,10,0,2,0,176,8,0,0,0,225.3734132
1,793,15,0,49,4,568,10,0,27,2,382,6,0,21,2,213,4,0,15,0,86,3,0,8,0,178.8832601
1,3160,7,8,27,4,2512,4,0,12,1,1792,3,0,5,0,1079,2,0,2,0,514,1,0,2,0,149.9065748
1,3219,0,4,64,0,2334,0,2,13,0,1399,0,1,6,0,640,0,0,3,0,207,0,0,1,0,166.7807961
1,4672,6,2,134,0,3815,3,1,69,0,2814,1,1,37,0,1809,1,0,16,0,983,1,0,7,0,135.7912929
1,4126,1,0,6,5,3144,1,0,2,2,2071,1,0,0,2,1068,0,0,0,1,386,0,0,0,0,163.1541068
1,4188,1,4,125,2,3111,0,1,51,0,2031,0,0,10,0,1063,0,0,4,0,425,0,0,2,0,132.551404
1,2200,36,8,290,1,1548,15,4,243,1,993,10,2,182,0,544,5,0,128,0,233,3,0,98,0,189.4588583
1,2207,2,0,2,0,1540,0,0,0,0,949,0,0,0,0,497,0,0,0,0,186,0,0,0,0,205.5637126
1,4306,81,7,191,11,3092,43,4,156,7,2079,24,1,112,3,1226,16,0,75,3,625,12,0,56,2,180.7161427
1,1667,21,0,33,0,1272,7,0,19,0,850,2,0,9,0,467,1,0,3,0,210,1,0,1,0,176.9610721
1,564,6,0,12,0,403,4,0,3,0,234,3,0,2,0,96,2,0,0,0,24,0,0,0,0,122.4937359
1,1582,16,0,8,2,910,9,0,2,1,397,7,0,1,0,122,3,0,1,0,26,2,0,0,0,182.4115882
1,671,27,1,140,9,496,19,0,69,3,335,11,0,38,1,228,10,0,15,0,166,7,0,7,0,175.3749418
1,586,10,2,10,3,386,4,0,3,2,221,2,0,2,1,79,0,0,0,1,27,0,0,0,1,206.3248976
1,138,36,0,70,0,85,20,0,32,0,49,12,0,12,0,21,7,0,6,0,10,5,0,1,0,179.2546313
1,1832,51,9,69,8,1286,17,3,41,4,834,10,2,25,4,504,6,1,11,2,251,2,0,5,0,167.9830571
1,443,18,0,82,3,268,7,0,20,2,152,4,0,5,2,66,3,0,0,1,21,2,0,0,0,157.8621728
1,488,1,1,13,2,355,0,0,5,1,223,0,0,0,1,104,0,0,0,1,39,0,0,0,0,163.3600988
1,2441,28,3,14,4,1830,12,2,8,3,1304,5,1,2,2,834,3,0,1,2,465,1,0,0,1,166.4058336
1,1683,0,3,4,0,1181,0,0,2,0,655,0,0,0,0,240,0,0,0,0,52,0,0,0,0,122.5207069
1,1787,6,2,8,1,1208,3,1,3,1,662,1,1,2,1,292,1,0,0,1,94,1,0,0,1,164.2654656
1,3231,1,14,56,3,2794,0,5,22,1,2133,0,1,9,1,1291,0,0,2,0,581,0,0,0,0,136.9795117
1,1215,14,0,8,2,824,6,0,6,2,497,1,0,4,2,256,0,0,1,2,95,0,0,1,2,216.7500679
1,521,15,0,391,2,366,1,0,221,2,211,0,0,88,2,99,0,0,23,2,36,0,0,11,0,234.4915879
1,907,13,10,151,1,671,7,2,90,0,457,4,0,44,0,272,3,0,21,0,124,3,0,13,0,149.55879
1,964,97,5,37,19,656,54,0,24,13,401,32,0,15,10,241,14,0,9,8,127,5,0,6,4,207.768524
1,4615,17,4,6,1,3448,6,3,5,1,2198,4,2,3,1,1052,2,0,0,0,391,2,0,0,0,188.8787917
1,2088,0,16,25,3,1669,0,4,11,1,1144,0,3,5,1,630,0,0,1,0,265,0,0,1,0,155.8650567
1,1156,2,0,7,2,838,2,0,2,1,470,2,0,1,0,200,1,0,0,0,57,0,0,0,0,155.4824582
1,2121,2,2,4,0,1404,1,0,1,0,755,0,0,0,0,274,0,0,0,0,57,0,0,0,0,205.7015398
1,1519,9,4,25,0,1164,4,1,14,0,750,2,0,5,0,380,2,0,1,0,129,2,0,1,0,136.0419226
1,2009,17,9,1,3,1226,9,2,0,1,578,1,0,0,0,185,0,0,0,0,50,0,0,0,0,190.9424822
1,1863,3,19,14,0,1473,1,5,8,0,1046,1,0,5,0,598,0,0,2,0,281,0,0,0,0,130.6027786
1,1260,2,79,89,3,836,0,28,22,2,445,0,13,3,1,161,0,3,1,1,24,0,1,0,1,128.9714957
1,304,13,1,78,1,189,8,0,34,1,88,5,0,19,1,34,4,0,6,1,6,3,0,0,0,189.2639749
1,571,19,3,37,2,413,17,0,16,2,225,16,0,7,2,98,14,0,5,2,43,13,0,5,2,186.5710999
1,688,31,12,940,10,483,13,5,593,5,280,11,3,359,1,156,8,1,190,0,60,5,0,103,0,143.5659928
1,695,78,5,154,13,357,46,1,78,6,166,26,1,30,3,55,22,0,13,2,15,19,0,7,0,213.3224784
1,552,53,0,115,1,357,34,0,35,1,198,20,0,12,0,97,5,0,1,0,35,2,0,0,0,228.4991534
1,1959,36,5,17,6,1310,16,3,10,5,776,7,1,5,3,371,5,0,3,1,150,5,0,3,0,224.5174306
1,878,42,13,309,16,546,22,3,176,12,331,11,1,104,9,161,4,1,47,0,67,3,1,22,0,146.1135226
1,1074,19,3,2,5,635,7,1,1,2,303,3,1,0,1,111,2,0,0,1,28,0,0,0,0,220.208285
1,3217,29,1,50,0,2168,10,0,39,0,1280,3,0,28,0,645,0,0,19,0,261,0,0,15,0,265.0472379
1,1834,55,2,195,5,1119,19,1,96,2,597,8,1,38,1,268,2,0,17,1,101,1,0,5,0,226.4247799
1,5553,5,25,29,7,4602,0,6,9,6,3287,0,1,1,3,1833,0,0,1,3,703,0,0,1,2,122.9248066
1,2754,41,8,12,1,1993,28,1,2,1,1113,22,1,0,1,503,12,1,0,1,148,10,1,0,0,166.4015732
1,2486,23,8,62,0,1749,18,3,26,0,1064,10,0,7,0,541,5,0,2,0,224,4,0,2,0,161.919866
1,1380,7,1,9,0,927,1,0,6,0,539,0,0,3,0,280,0,0,2,0,112,0,0,1,0,213.4125121
1,2676,3,0,30,3,1980,2,0,21,3,1241,1,0,5,2,604,1,0,1,1,211,1,0,0,1,222.5203161
1,1403,5,0,35,3,1068,1,0,12,1,750,0,0,6,1,357,0,0,0,1,138,0,0,0,1,166.8430705
1,6466,5,1,4,3,5526,4,1,2,1,4208,4,1,1,1,2571,3,1,0,0,1212,3,1,0,0,171.065283
1,1675,13,0,4,1,1041,6,0,1,1,511,2,0,0,0,177,1,0,0,0,25,1,0,0,0,221.6094825
1,2606,1,51,63,0,1999,1,17,34,0,1340,0,9,18,0,714,0,3,5,0,225,0,0,3,0,118.1340244
1,2255,19,15,30,1,1495,6,7,8,0,831,3,4,1,0,340,0,1,1,0,93,0,0,1,0,191.8027485
1,1626,15,0,7,0,992,7,0,2,0,502,2,0,1,0,194,0,0,0,0,63,0,0,0,0,187.8913986
1,1970,32,12,32,6,1217,14,6,12,3,618,2,2,3,3,217,1,1,0,1,59,0,0,0,1,218.4367613
1,2719,1,58,13,6,2170,1,18,7,2,1476,1,5,3,1,730,1,3,3,1,226,0,2,1,0,138.9573112
1,1278,92,1,84,1,913,71,1,34,0,564,58,1,12,0,278,50,0,8,0,91,45,0,1,0,182.6912156
1,1186,9,4,10,0,935,3,1,3,0,648,3,1,1,0,329,2,1,0,0,125,2,1,0,0,165.6128569
1,1139,43,12,399,6,685,13,4,295,2,374,3,3,182,1,192,1,1,116,1,75,1,1,60,0,187.1454147
1,473,212,44,164,11,258,132,16,117,9,141,77,9,77,4,57,35,3,53,0,18,22,2,35,0,175.5817611
1,2327,4,1,4,0,1599,2,1,4,0,915,1,1,3,0,400,1,0,1,0,128,1,0,0,0,197.4286542
1,2327,9,0,1,0,1441,5,0,0,0,729,1,0,0,0,254,0,0,0,0,52,0,0,0,0,224.0679971
1,333,7,0,3,0,212,0,0,0,0,115,0,0,0,0,33,0,0,0,0,7,0,0,0,0,198.4647949
1,3900,5,0,29,5,3338,2,0,14,3,2541,0,0,7,1,1606,0,0,2,1,756,0,0,0,1,157.2518592
1,1727,25,7,6,2,983,7,1,2,0,429,0,1,0,0,136,0,0,0,0,22,0,0,0,0,213.1213286
