index,class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean
155,3,4708,26,28,18,0,4633,36,53,54,4,4047,21,37,38,0,3078,7,24,26,0,1896,6,15,16,0,116.6300465,116.8364693,15121.76713
156,3,254,82,72,178,2,207,70,39,268,4,96,25,22,208,3,38,12,14,141,1,18,2,12,75,1,132.2921441,130.1952566,22567.49366
157,3,2247,21,13,18,5,2214,18,2,58,12,1825,5,1,37,9,1285,3,1,22,7,748,1,1,13,6,160.5272721,167.0293385,30742.11346
158,3,2713,42,21,22,1,2644,66,15,65,9,2023,38,6,48,5,1374,12,4,32,1,828,6,0,20,1,158.6554908,155.2293655,29129.55039
159,3,2743,23,35,48,0,2683,14,30,118,4,2293,6,15,81,2,1779,2,6,49,0,1224,2,1,26,0,125.1486261,128.8404141,18085.95487
160,3,1719,131,3,11,11,1569,238,0,25,43,1230,150,0,16,35,895,75,0,11,27,583,33,0,9,21,171.9903984,169.7877295,43107.93563
161,3,3606,6,105,74,3,3401,10,158,203,22,2972,6,105,151,16,2294,0,70,114,11,1482,0,45,76,5,107.7210965,111.6573931,12817.69043
162,3,2106,57,45,91,2,1986,70,31,206,8,1349,30,17,156,4,686,13,10,104,3,258,2,6,61,1,151.0338994,150.4401316,26723.74008
163,3,1782,65,51,27,3,1661,95,82,74,16,1063,55,52,53,9,555,28,25,34,6,274,14,8,22,3,142.6208967,145.4502189,22850.56179
164,3,3106,35,64,55,3,2956,36,110,147,14,2438,11,73,104,12,1799,6,41,66,9,1185,5,23,37,4,115.6340646,117.7385383,15510.42394
165,3,3754,49,30,13,2,3612,87,65,74,10,2942,49,36,65,8,2076,30,18,51,5,1272,18,4,32,4,148.9899936,151.5805051,26172.14786
166,3,871,41,6,18,0,841,56,5,29,5,555,25,4,23,1,331,11,1,17,1,183,3,0,11,1,142.0518956,144.8321723,23266.69891
167,3,105,4,5,200,0,96,4,4,205,5,78,3,2,96,2,56,1,1,35,1,37,0,1,17,1,78.25145092,75.85812655,8934.640576
168,3,1310,27,52,100,0,1252,20,8,204,5,1026,10,3,166,3,736,4,2,107,1,433,1,1,61,0,131.5981787,134.9612234,21898.86697
169,3,4602,27,151,49,2,4170,21,417,205,18,3347,7,273,165,11,2295,3,174,124,6,1230,2,94,87,1,130.1253983,130.3903218,23502.23736
170,3,1992,45,83,181,2,1847,31,30,392,3,1374,13,19,323,1,836,8,9,200,0,471,4,5,107,0,119.1149769,120.3917208,17318.03464
171,3,1048,188,72,410,2,852,188,2,660,18,567,128,1,619,9,288,77,1,541,6,144,46,0,437,1,130.4788947,131.4273055,21988.25682
